Dataset,Encoding,Parametri Q,C,RBF KTA,Quantum KTA,Coeff. Geom,Acc,F1
Linear,Amplitude,{},100.0,0.1695,0.0310,3391.5001,0.4500,0.4444
Linear,Angle,{},1.0,0.1695,0.0683,1386.1137,0.9250,0.9246
Linear,Basis,{'tau_bit_per_feature': 1},1.0,0.1695,0.1650,3058.8867,0.9250,0.9250
Linear,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]}",10.0,0.1695,0.0318,690.6326,0.9000,0.8997
Linear,Projected,"{'gamma': 1.0, 'numero_layer': 2}",100.0,0.1695,0.0116,442.6220,0.8000,0.7980
Circles,Amplitude,{},1.0,0.4328,0.0021,4729.5486,0.4500,0.4373
Circles,Angle,{},1.0,0.4328,0.0518,3671.6072,1.0000,1.0000
Circles,Basis,{'tau_bit_per_feature': 2},1.0,0.4328,0.2109,2823.2348,0.9000,0.8990
Circles,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",1.0,0.4328,0.0103,3627.9924,1.0000,1.0000
Circles,Projected,"{'gamma': 0.1, 'numero_layer': 1}",1.0,0.4328,0.0126,3405.0879,1.0000,1.0000
Moons,Amplitude,{},1.0,0.3727,0.0019,4895.9814,0.4500,0.4373
Moons,Angle,{},1000.0,0.3727,0.2269,2668.4189,0.9750,0.9750
Moons,Basis,{'tau_bit_per_feature': 2},1.0,0.3727,0.2594,2835.5972,0.9000,0.8990
Moons,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",1000.0,0.3727,0.1042,2376.1365,0.9750,0.9750
Moons,Projected,"{'gamma': 5.0, 'numero_layer': 2}",100.0,0.3727,0.2759,93.4528,0.9750,0.9750
Quantum_Ad_Hoc,Amplitude,{},1.0,0.2021,0.0278,3673.0467,0.4000,0.4000
Quantum_Ad_Hoc,Angle,{},100.0,0.2021,0.0034,2838.1944,0.6250,0.6165
Quantum_Ad_Hoc,Basis,{'tau_bit_per_feature': 2},1.0,0.2021,0.1921,3199.3913,0.6250,0.5718
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",100.0,0.2021,0.0036,2490.0038,0.6750,0.6615
Quantum_Ad_Hoc,Projected,"{'gamma': 5.0, 'numero_layer': 2}",100.0,0.2021,0.1119,140.5928,0.8500,0.8500
XOR_Alta_Dim,Amplitude,{},1.0,0.0936,0.0172,1988.6466,0.6250,0.6243
XOR_Alta_Dim,Angle,{},1000.0,0.0936,0.0126,1481.5848,0.6000,0.6000
XOR_Alta_Dim,Basis,{'tau_bit_per_feature': 2},1.0,0.0936,0.0446,1947.0437,0.6250,0.6165
XOR_Alta_Dim,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]}",1000.0,0.0936,0.0093,803.3976,0.6500,0.6446
XOR_Alta_Dim,Projected,"{'gamma': 5.0, 'numero_layer': 1}",10.0,0.0936,0.0152,402.3756,0.6000,0.5939
Breast_Cancer,Amplitude,{},10.0,0.2983,0.0727,3210.4794,0.6500,0.5672
Breast_Cancer,Angle,{},10.0,0.2983,0.1645,1565.8913,0.9500,0.9492
Breast_Cancer,Basis,{'tau_bit_per_feature': 2},1.0,0.2983,0.1474,2982.7223,0.7500,0.7321
Breast_Cancer,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [1, 2], [2, 3]]}",10.0,0.2983,0.1067,916.2012,0.9750,0.9748
Breast_Cancer,Projected,"{'gamma': 1.0, 'numero_layer': 1}",100.0,0.2983,0.0942,1746.0753,0.9750,0.9748
